Variable_name	Value
log_slow_admin_statements	ON
log_slow_disabled_statements	sp
log_slow_filter	admin,filesort,filesort_on_disk,filesort_priority_queue,full_join,full_scan,query_cache,query_cache_miss,tmp_table,tmp_table_on_disk
log_slow_max_warnings	10
log_slow_min_examined_row_limit	0
log_slow_query	ON
log_slow_query_file	MacBook-Pro-Arttu-slow.log
log_slow_query_time	10.000000
log_slow_rate_limit	1
log_slow_slave_statements	ON
log_slow_verbosity	
slow_launch_time	2
slow_query_log	ON
slow_query_log_file	MacBook-Pro-Arttu-slow.log
EmployeeID	LastName	FirstName
3	Rojola	Pekko
206	Rojola	Pekko
1179	Rojola-Heinonen	Pekko
1866	Rojola	Pekko
5376	Rojola	Pekko
5443	Rojola	Pekko
5607	Rojola	Pekko
6469	Rojola	Pekko
7294	Rojola	Pekko
9461	Rojola	Pekko
9671	Rojola	Pekko
10094	Rojola	Pekko
11413	Rojola	Pekko
11738	Rojola	Pekko
12244	Rojola	Pekko
13047	Rojola	Pekko
15476	Rojola	Pekko
18407	Rojola	Pekko
24044	Rojola	Pekko
24066	Rojola	Pekko
26509	Rojola-Auvinen	Pekko
28292	Rojola	Pekko
30320	Rojola	Pekko
32094	Rojola	Pekko
37119	Rojola	Pekko
39437	Rojola	Pekko
40270	Rojola	Pekko
40600	Rojola	Pekko
42541	Rojola	Pekko
43285	Rojola	Pekko
45918	Laitamo-Rojola	Pekko
46519	Rojola	Pekko
47522	Rojola	Pekko
48664	Rojola	Pekko
50163	Rojola	Pekko
51065	Rojola	Pekko
53432	Rojola	Pekko
55375	Rojola	Pekko
55736	Ollikainen-Rojola	Pekko
56196	Rojola	Pekko
61538	Rojola	Pekko
64254	Rojola	Pekko
66363	Rojola	Pekko
66979	Rojola-Rajala	Pekko
68219	Rojola	Pekko
71215	Rojola	Pekko
71733	Rojola	Pekko
74971	Häkkinen-Rojola	Pekko
76212	Rojola	Pekko
79318	Rojola	Pekko
81227	Rojola	Pekko
81975	Rojola	Pekko
87081	Rojola	Pekko
88357	Rojola	Pekko
89019	Rojola	Pekko
91841	Rojola	Pekko
92299	Rojola	Pekko
97570	Rojola	Pekko
97630	Rojola	Pekko
99720	Rojola	Pekko
99753	Rojola	Pekko
107288	Rojola-Uutela	Pekko
110170	Rojola	Pekko
111197	Rojola	Pekko
111640	Wuotila-Rojola	Pekko
114982	Rojola	Pekko
115272	Rojola	Pekko
115298	Rojola	Pekko
115935	Rojola	Pekko
117692	Rojola	Pekko
123204	Rojola	Pekko
124259	Mottisenkangas-Rojola	Pekko
125850	Rojola	Pekko
126623	Rojola	Pekko
126819	Stepanov-Rojola	Pekko
129695	Rojola	Pekko
131459	Rojola	Pekko
132236	Rojola	Pekko
132745	Rojola	Pekko
135215	Rojola	Pekko
135299	Paavola-Rojola	Pekko
135519	Rojola	Pekko
136156	Rojola	Pekko
136834	Rojola	Pekko
136990	Rojola	Pekko
137027	Rojola	Pekko
146857	Rojola	Pekko
149258	Rojola	Pekko
149415	Rojola-Ruottinen	Pekko
152450	Rojola	Pekko
152539	Kohonen-Rojola	Pekko
152750	Rojola	Pekko
154835	Rojola	Pekko
155465	Rojola	Pekko
158957	Rojola	Pekko
159208	Rojola	Pekko
160085	Rojola-Kähkönen	Pekko
163554	Rojola	Pekko
164153	Rojola	Pekko
164918	Vanninen-Rojola	Pekko
168449	Rojola	Pekko
172311	Rojola	Pekko
173258	Rojola	Pekko
174364	Rojola	Pekko
175094	Rojola	Pekko
175253	Rojola	Pekko
176917	Rojola	Pekko
177825	Rojola	Pekko
178222	Rojola	Pekko
179838	Rojola	Pekko
180744	Rojola	Pekko
182603	Rojola	Pekko
183368	Rojola	Pekko
184592	Mynttinen-Rojola	Pekko
185206	Rojola	Pekko
186419	Rojola	Pekko
187117	Rojola	Pekko
190421	Rojola	Pekko
191298	Rojola	Pekko
193437	Rojola	Pekko
196979	Rojola	Pekko
197621	Rojola	Pekko
198720	Rojola	Pekko
199632	Rojola	Pekko
3	Rojola	Tarmo
206	Rojola	Tarmo
1179	Rojola-Heinonen	Tarmo
1866	Rojola	Tarmo
5376	Rojola	Tarmo
5443	Rojola	Tarmo
5607	Rojola	Tarmo
6469	Rojola	Tarmo
7294	Rojola	Tarmo
9461	Rojola	Tarmo
9671	Rojola	Tarmo
10094	Rojola	Tarmo
11413	Rojola	Tarmo
11738	Rojola	Tarmo
12244	Rojola	Tarmo
13047	Rojola	Tarmo
15476	Rojola	Tarmo
18407	Rojola	Tarmo
24044	Rojola	Tarmo
24066	Rojola	Tarmo
26509	Rojola-Auvinen	Tarmo
28292	Rojola	Tarmo
30320	Rojola	Tarmo
32094	Rojola	Tarmo
37119	Rojola	Tarmo
39437	Rojola	Tarmo
40270	Rojola	Tarmo
40600	Rojola	Tarmo
42541	Rojola	Tarmo
43285	Rojola	Tarmo
45918	Laitamo-Rojola	Tarmo
46519	Rojola	Tarmo
47522	Rojola	Tarmo
48664	Rojola	Tarmo
50163	Rojola	Tarmo
51065	Rojola	Tarmo
53432	Rojola	Tarmo
55375	Rojola	Tarmo
55736	Ollikainen-Rojola	Tarmo
56196	Rojola	Tarmo
61538	Rojola	Tarmo
64254	Rojola	Tarmo
66363	Rojola	Tarmo
66979	Rojola-Rajala	Tarmo
68219	Rojola	Tarmo
71215	Rojola	Tarmo
71733	Rojola	Tarmo
74971	Häkkinen-Rojola	Tarmo
76212	Rojola	Tarmo
79318	Rojola	Tarmo
81227	Rojola	Tarmo
81975	Rojola	Tarmo
87081	Rojola	Tarmo
88357	Rojola	Tarmo
89019	Rojola	Tarmo
91841	Rojola	Tarmo
92299	Rojola	Tarmo
97570	Rojola	Tarmo
97630	Rojola	Tarmo
99720	Rojola	Tarmo
99753	Rojola	Tarmo
107288	Rojola-Uutela	Tarmo
110170	Rojola	Tarmo
111197	Rojola	Tarmo
111640	Wuotila-Rojola	Tarmo
114982	Rojola	Tarmo
115272	Rojola	Tarmo
115298	Rojola	Tarmo
115935	Rojola	Tarmo
117692	Rojola	Tarmo
123204	Rojola	Tarmo
124259	Mottisenkangas-Rojola	Tarmo
125850	Rojola	Tarmo
126623	Rojola	Tarmo
126819	Stepanov-Rojola	Tarmo
129695	Rojola	Tarmo
131459	Rojola	Tarmo
132236	Rojola	Tarmo
132745	Rojola	Tarmo
135215	Rojola	Tarmo
135299	Paavola-Rojola	Tarmo
135519	Rojola	Tarmo
136156	Rojola	Tarmo
136834	Rojola	Tarmo
136990	Rojola	Tarmo
137027	Rojola	Tarmo
146857	Rojola	Tarmo
149258	Rojola	Tarmo
149415	Rojola-Ruottinen	Tarmo
152450	Rojola	Tarmo
152539	Kohonen-Rojola	Tarmo
152750	Rojola	Tarmo
154835	Rojola	Tarmo
155465	Rojola	Tarmo
158957	Rojola	Tarmo
159208	Rojola	Tarmo
160085	Rojola-Kähkönen	Tarmo
163554	Rojola	Tarmo
164153	Rojola	Tarmo
164918	Vanninen-Rojola	Tarmo
168449	Rojola	Tarmo
172311	Rojola	Tarmo
173258	Rojola	Tarmo
174364	Rojola	Tarmo
175094	Rojola	Tarmo
175253	Rojola	Tarmo
176917	Rojola	Tarmo
177825	Rojola	Tarmo
178222	Rojola	Tarmo
179838	Rojola	Tarmo
180744	Rojola	Tarmo
182603	Rojola	Tarmo
183368	Rojola	Tarmo
184592	Mynttinen-Rojola	Tarmo
185206	Rojola	Tarmo
186419	Rojola	Tarmo
187117	Rojola	Tarmo
190421	Rojola	Tarmo
191298	Rojola	Tarmo
193437	Rojola	Tarmo
196979	Rojola	Tarmo
197621	Rojola	Tarmo
198720	Rojola	Tarmo
199632	Rojola	Tarmo
3	Rojola	Teuvo
206	Rojola	Teuvo
1179	Rojola-Heinonen	Teuvo
1866	Rojola	Teuvo
5376	Rojola	Teuvo
5443	Rojola	Teuvo
5607	Rojola	Teuvo
6469	Rojola	Teuvo
7294	Rojola	Teuvo
9461	Rojola	Teuvo
9671	Rojola	Teuvo
10094	Rojola	Teuvo
11413	Rojola	Teuvo
11738	Rojola	Teuvo
12244	Rojola	Teuvo
13047	Rojola	Teuvo
15476	Rojola	Teuvo
18407	Rojola	Teuvo
24044	Rojola	Teuvo
24066	Rojola	Teuvo
26509	Rojola-Auvinen	Teuvo
28292	Rojola	Teuvo
30320	Rojola	Teuvo
32094	Rojola	Teuvo
37119	Rojola	Teuvo
39437	Rojola	Teuvo
40270	Rojola	Teuvo
40600	Rojola	Teuvo
42541	Rojola	Teuvo
